familia_textual_ml;familia_textual_rotulo;itens;processos;elegiveis_modelagem;sucesso_qtd;insucesso_qtd;deserto_qtd;fracassado_qtd;resultado_final_sucesso_qtd;baixa_comp_qtd;insucesso_ampliado_qtd;propostas_media;propostas_mediana;valor_cotado_medio;valor_cotado_mediano;valor_homologado_medio;valor_homologado_mediano;desconto_pct_medio;desconto_pct_mediano;mediana_ref_preco;desvio_cotado_ref_mediano_pct;me_epp_qtd;regional_qtd;local_qtd;taxa_insucesso_pct;taxa_sucesso_pct;taxa_deserto_pct;taxa_fracassado_pct;taxa_baixa_comp_pct;taxa_insucesso_ampliado_pct;pct_me_epp;pct_regional;pct_local
FAMILIA_13;de / com / para / em / do;1031370;36368;938942;861229;77713;24168;53545;386;201655;249447;6.253780893374832;5.0;17301.327448403106;25.5;10090.572596424203;17.8;-1072.0128;27.536232;17.81;50.263897;339610;71169;20565;8.27665606608289;91.7233439339171;2.573960904933425;5.702695161149464;19.55214908325819;24.185985630762964;32.92804716057283;6.900433404112976;1.9939497949329532
FAMILIA_02;ml ampola / 50 mg / mg ml / ampola / mg;3346;557;3039;2686;353;170;183;0;360;599;8.673341303048415;7.0;38.19356760310819;3.37;27.213363302090844;2.15;34.52539;34.10428;2.13;96.446014;680;45;1;11.615663047054953;88.38433695294505;5.593945376768674;6.021717670286279;10.759115361625822;17.901972504482966;20.322773460848776;1.3448894202032278;0.029886431560071723
FAMILIA_10;100 mg / acido / mg / 100 / mg comprimido;3059;588;2789;2523;266;69;197;0;347;522;8.421706440013077;7.0;24.31593864007846;0.83;19.726813723978413;0.5;34.026443;33.519554;0.5;94.0;558;35;5;9.53746862674794;90.46253137325206;2.47400501972033;7.063463607027609;11.343576332134685;17.064400130761687;18.241255312193527;1.1441647597254003;0.16345210853220007
FAMILIA_09;para me / 2mg / me epp / epp / me;488;72;469;311;158;50;108;0;157;241;5.651639344262295;3.0;754.6299866803279;8.07;590.1976907348243;5.5;29.884796;27.87286;5.5;46.727272;433;1;9;33.688699360341154;66.31130063965884;10.660980810234541;23.02771855010661;32.17213114754098;49.385245901639344;88.72950819672131;0.20491803278688525;1.8442622950819672
FAMILIA_14;reparo / onibus / placa / bomba / vw;462;84;427;274;153;4;149;0;123;273;4.4935064935064934;4.0;3110.6852523809525;207.91665;4208.665153623188;121.5;26.068003;18.484467;119.0305;87.485565;278;43;35;35.831381733021075;64.16861826697892;0.936768149882904;34.894613583138174;26.623376623376622;59.09090909090909;60.17316017316018;9.307359307359308;7.575757575757576
FAMILIA_19;250mg / comprimido / 5ml / acido / sodio;1902;382;1739;1606;133;36;97;0;227;301;9.168769716088327;8.0;6.490405625657203;0.72;4.122277078239609;0.38;37.04878;37.16814;0.38;105.88855;373;49;2;7.648073605520414;92.35192639447959;2.070155261644623;5.57791834387579;11.934805467928495;15.825446898002102;19.61093585699264;2.576235541535226;0.10515247108307045
FAMILIA_16;valvula / reparo / valvula de / para / branca;1340;386;1226;1100;126;11;115;0;259;356;4.338805970149254;4.0;517.1540564925374;100.47999999999999;314.03503468468466;71.56;26.665955;29.382547;72.0;31.17361;550;151;131;10.277324632952691;89.72267536704732;0.897226753670473;9.38009787928222;19.328358208955223;26.56716417910448;41.04477611940299;11.26865671641791;9.776119402985074
FAMILIA_07;disjuntor / din / tripolar / 32 / caixa;3045;325;2640;2554;86;4;82;0;318;380;7.493267651888342;7.0;105.38233963875206;40.3;63.966658142158714;21.51;37.228527;38.058823;21.6;85.18519;1115;360;14;3.257575757575758;96.74242424242424;0.15151515151515152;3.106060606060606;10.44334975369458;12.479474548440066;36.61740558292282;11.822660098522167;0.45977011494252873
FAMILIA_05;poste / de concreto / concreto / metros / de;552;252;485;450;35;9;26;1;143;168;5.313405797101449;4.0;1639.8982483695654;316.635;1490.7591877461707;222.02;18.79279;15.004809;220.0;43.925;125;40;2;7.216494845360824;92.78350515463917;1.8556701030927836;5.360824742268041;25.905797101449274;30.434782608695656;22.644927536231883;7.246376811594203;0.36231884057971014
FAMILIA_12;garrafa / termica / litro / rosca / 01;278;183;265;252;13;4;9;0;61;69;5.2913669064748206;5.0;79.85857446043165;63.375;62.152543478260874;47.03;26.098795;26.65621;46.965;42.127113;131;24;25;4.905660377358491;95.09433962264151;1.509433962264151;3.3962264150943398;21.942446043165468;24.820143884892087;47.122302158273385;8.633093525179856;8.992805755395683
FAMILIA_17;pe / saco / em aco / de / aco;189;147;176;165;11;3;8;0;57;63;4.174603174603175;4.0;116.7643671957672;28.47;119.13519393939394;23.6;23.024721;21.15964;23.6;20.635593;66;18;13;6.25;93.75;1.7045454545454544;4.545454545454546;30.158730158730158;33.33333333333333;34.92063492063492;9.523809523809524;6.878306878306878
FAMILIA_11;80 / metros / papel / 20 / mm;70;57;63;54;9;1;8;0;15;18;4.914285714285715;4.0;2704.7576328571427;33.185;3281.2838745454546;23.0;27.498568;22.934734;22.65;46.512142;30;2;1;14.285714285714285;85.71428571428571;1.5873015873015872;12.698412698412698;21.428571428571427;25.71428571428571;42.857142857142854;2.857142857142857;1.4285714285714286
FAMILIA_18;envelope / und / 100 / branco / sem;433;226;379;370;9;4;5;0;60;67;6.055427251732102;5.0;1073.1989812933025;5.67;23.650560317460318;4.215999999999999;32.758038;30.0;4.07;39.31204;93;38;7;2.3746701846965697;97.62532981530343;1.0554089709762533;1.3192612137203166;13.856812933025402;15.473441108545035;21.478060046189377;8.775981524249422;1.6166281755196306
FAMILIA_04;cru / grs / com 500 / embalagem plastica / acondicionado em;22;15;20;19;1;0;1;0;8;9;5.681818181818182;4.5;23.69417727272727;14.725;17.478;11.2;24.66392;13.125856;;;9;2;3;5.0;95.0;0.0;5.0;36.36363636363637;40.909090909090914;40.909090909090914;9.090909090909092;13.636363636363635
FAMILIA_08;personalizada / 90g / colorida / em papel / impressao;72;35;68;67;1;0;1;0;9;10;6.138888888888889;4.0;24.43277777777778;1.8199999999999998;19.31602857142857;1.315;33.98497;21.428572;1.33;36.842106;31;25;0;1.4705882352941175;98.52941176470588;0.0;1.4705882352941175;12.5;13.88888888888889;43.05555555555556;34.72222222222222;0.0
FAMILIA_00;macarrao / de kg / primeira qualidade / de primeira / primeira;50;38;47;47;0;0;0;0;9;9;4.48;4.0;26.781212;10.14;20.544;7.16;20.018072;19.977137;7.16;41.62011;23;6;2;0.0;100.0;0.0;0.0;18.0;18.0;46.0;12.0;4.0
FAMILIA_01;ligacao / 63 / amperes / feito / de material;35;19;32;32;0;0;0;0;0;0;8.17142857142857;9.0;53.58238;43.7166;25.255878787878785;20.73;52.197227;51.54254;19.11;128.76295;17;2;0;0.0;100.0;0.0;0.0;0.0;0.0;48.57142857142857;5.714285714285714;0.0
