grupo_exclusividade_regionalidade;classificacao_preco_ref;itens;processos;elegiveis_modelagem;sucesso_qtd;insucesso_qtd;deserto_qtd;fracassado_qtd;resultado_final_sucesso_qtd;baixa_comp_qtd;insucesso_ampliado_qtd;propostas_media;propostas_mediana;valor_cotado_medio;valor_cotado_mediano;valor_homologado_medio;valor_homologado_mediano;desconto_pct_medio;desconto_pct_mediano;mediana_ref_preco;desvio_cotado_ref_mediano_pct;me_epp_qtd;regional_qtd;local_qtd;taxa_insucesso_pct;taxa_sucesso_pct;taxa_deserto_pct;taxa_fracassado_pct;taxa_baixa_comp_pct;taxa_insucesso_ampliado_pct;pct_me_epp;pct_regional;pct_local
SEM_CRITERIO;COTADO_ACIMA_DA_REFERENCIA;384651;24660;345808;320265;25543;7353;18190;210;68903;84714;6.913721789362305;5.0;45281.35477441317;105.0;25328.457799780932;66.61;30.239439;28.605698;17.81;481.58337;0;0;0;7.386468791930782;92.61353120806922;2.126324434368204;5.260144357562578;17.913121244972714;22.02360061458309;0.0;0.0;0.0
SEM_CRITERIO;COTADO_ABAIXO_DA_REFERENCIA;246326;8866;222480;204525;17955;5092;12863;133;37814;49032;6.967668861589925;6.0;90.84279617904728;4.62;1618.0203316279315;3.3594;-4819.349;29.721363;17.81;-73.54941;0;0;0;8.070388349514564;91.92961165048543;2.288745055735347;5.781643293779217;15.351201253623248;19.90532871073293;0.0;0.0;0.0
SOMENTE_ME_EPP;COTADO_ACIMA_DA_REFERENCIA;157347;9537;146078;130557;15521;4722;10799;8;30358;39991;5.793456500600583;5.0;1030.528277379931;85.3;709.3372270132023;54.9;30.296175;29.42643;17.81;366.03033;157347;0;0;10.625145470228233;89.37485452977177;3.232519612809595;7.392625857418639;19.29366305045536;25.41580074612163;100.0;0.0;0.0
SOMENTE_ME_EPP;COTADO_ABAIXO_DA_REFERENCIA;107564;4101;101137;91268;9869;3247;6622;0;21156;26886;5.632999888438511;5.0;14.811111956602582;5.51;22.015889183308143;3.45;24.05056;30.011723;17.81;-68.781586;107564;0;0;9.758050960578226;90.24194903942177;3.2104966530547676;6.547554307523458;19.668290506117287;24.995351604626084;100.0;0.0;0.0
SEM_CRITERIO;COTADO_PROXIMO_DA_REFERENCIA;41470;5373;37837;35004;2833;891;1942;34;7801;9501;6.553846153846154;5.0;588.1307009886666;17.35;528.6519434553654;11.69;25.913807;24.39516;17.81;0.0;0;0;0;7.4873800777017205;92.51261992229828;2.354837857123979;5.132542220577741;18.81118881118881;22.910537738123946;0.0;0.0;0.0
ME_EPP_E_REGIONAL_LOCAL;COTADO_ACIMA_DA_REFERENCIA;30115;1179;28670;26124;2546;1148;1398;1;11744;13178;3.313166196247717;3.0;1873.7318383430186;81.45;1300.234058820227;60.85;18.392172;11.5;17.81;289.66873;30115;22813;7854;8.880362748517614;91.11963725148239;4.004185559818626;4.876177188698989;38.99717748630251;43.7589241241906;100.0;75.75294703636062;26.080026564834803
ME_EPP_E_REGIONAL_LOCAL;COTADO_ABAIXO_DA_REFERENCIA;26947;654;25777;24064;1713;904;809;0;10357;11442;3.298066575128957;3.0;34.56964722974728;4.82;81.71142772317941;5.95;6.072517;11.050477;17.81;-72.936554;26947;19798;7687;6.645459130232377;93.35454086976762;3.5070023664507124;3.1384567637816656;38.43470516198464;42.46112739822615;100.0;73.47014509964004;28.526366571417967
SOMENTE_ME_EPP;COTADO_PROXIMO_DA_REFERENCIA;17713;2806;16633;15128;1505;533;972;0;3648;4552;5.3229266640320665;5.0;63.367772268955;17.67;49.849928397302904;12.0;30.269459;28.744652;17.81;0.0;17713;0;0;9.048277520591595;90.9517224794084;3.204473035531774;5.843804485059821;20.59504318861853;25.698639417377066;100.0;0.0;0.0
SOMENTE_REGIONAL_LOCAL;COTADO_ACIMA_DA_REFERENCIA;13837;631;12595;11743;852;326;526;1;5488;6145;3.635903736359037;3.0;11611.022084685987;80.59;7804.4821823989905;60.0;20.095348;12.563447;17.81;343.45874;0;12178;1672;6.764589122667725;93.23541087733227;2.58832870186582;4.176260420801905;39.66177639661777;44.40991544409915;0.0;88.01040688010406;12.083544120835441
SOMENTE_REGIONAL_LOCAL;COTADO_ABAIXO_DA_REFERENCIA;14465;322;9892;9546;346;124;222;0;4248;4544;3.1486346353266503;2.0;10.175163712409264;1.87;409.23170573581746;6.0;18.909456;13.447546;17.81;-89.29478;0;12470;2019;3.497775980590376;96.50222401940962;1.253538212697129;2.2442377678932472;29.367438645005183;31.413757345316277;0.0;86.20808848945731;13.957829243000347
ME_EPP_E_REGIONAL_LOCAL;COTADO_PROXIMO_DA_REFERENCIA;4416;483;4210;3954;256;134;122;0;1643;1794;3.2651721014492754;3.0;178.36893858695652;17.91;168.9932262528048;15.9;14.130076;9.363092;17.81;0.22459292;4416;3260;1253;6.080760095011876;93.91923990498813;3.1828978622327795;2.8978622327790973;37.205615942028984;40.625;100.0;73.82246376811594;28.374094202898554
SOMENTE_REGIONAL_LOCAL;COTADO_PROXIMO_DA_REFERENCIA;1815;221;1653;1527;126;59;67;0;639;743;3.537741046831956;3.0;95.35189438016529;17.46;105.12800260756192;15.585;16.47463;6.4431615;17.81;-0.78607523;0;1489;327;7.6225045372050815;92.37749546279493;3.569267997580157;4.053236539624924;35.20661157024794;40.9366391184573;0.0;82.03856749311295;18.016528925619834
SOMENTE_ME_EPP;SEM_REFERENCIA;45;30;43;41;2;0;2;0;4;5;8.533333333333333;8.0;2524.197167647059;26.405;1615.999404761905;146.16500000000002;46.490616;50.19598;840.0;;45;0;0;4.651162790697675;95.34883720930233;0.0;4.651162790697675;8.88888888888889;11.11111111111111;100.0;0.0;0.0
ME_EPP_E_REGIONAL_LOCAL;SEM_REFERENCIA;3;3;2;1;1;0;1;0;1;1;4.666666666666667;6.0;178.55999999999997;12.29;6.77;6.77;31.771229;31.771229;;;3;3;0;50.0;50.0;0.0;50.0;33.33333333333333;33.33333333333333;100.0;100.0;0.0
SEM_CRITERIO;SEM_REFERENCIA;31;19;20;20;0;0;0;0;6;6;5.096774193548387;2.0;1612.1732941176472;54.34;899.5380952380953;26.2;33.176556;30.246817;17.81;;0;0;0;0.0;100.0;0.0;0.0;19.35483870967742;19.35483870967742;0.0;0.0;0.0
SOMENTE_REGIONAL_LOCAL;SEM_REFERENCIA;3;1;3;3;0;0;0;0;3;3;2.0;2.0;53.979733333333336;58.975;50.1;55.0;7.119761;6.7401443;;;0;0;3;0.0;100.0;0.0;0.0;100.0;100.0;0.0;0.0;100.0
