termo;freq_insucesso;freq_sucesso;razao_associacao_insucesso
solucao oftalmica;295;40;6.796877570952236
oftalmica;414;72;5.352132167241406
insulina;477;89;5.000195444276349
para me;442;108;3.826298268076043
exclusivo para;419;115;3.4087322859913067
me epp;701;205;3.2082742430980593
entregue em;242;76;2.9710991242276736
epp;719;241;2.8010362113930927
me;746;259;2.704885256828926
piridoxina;244;85;2.682064550605563
exclusivo;771;280;2.586500539527991
contraste;193;74;2.435241630601536
fabricacao de;262;101;2.427488435598104
anestesico;217;86;2.359059169352714
carro;244;98;2.3298742560816
reutilizavel;203;82;2.313948388287386
carrinho de;198;80;2.312968139030668
facial;239;97;2.305614840670505
transporte de;425;173;2.304952307670312
bebedouro;187;77;2.269158537634262
niveis de;198;83;2.230362134065287
rotulado;186;79;2.200661331777483
ui;361;154;2.198763228162011
instrumento;187;80;2.185115628832993
cateter intravenoso;204;88;2.1685300631587285
min;623;270;2.1677884184606815
sem lactose;228;99;2.155942010596978
ghz;218;95;2.1477042409058322
reparo;230;101;2.132128625943582
50mg ml;252;111;2.1266895223059707
5mg ml;326;144;2.1231532524174423
zero;388;172;2.1169231444133185
destinado;229;102;2.102287965562831
mcg;261;117;2.0903589918451932
ser entregue;403;181;2.089832938915445
raio;269;121;2.0835576736387145
termometro;210;95;2.06924929146635
medico;370;169;2.05459667590927
sem gluten;217;99;2.052381477336861
validade registro;291;134;2.036341798784789
dreno;252;116;2.0358053546860573
carrinho;321;148;2.0345632525782564
cloridrato de;952;442;2.0253065503158494
pneus;598;281;1.9997665835851062
entregue;531;251;1.987525385800222
ventilador;273;129;1.9843067212078331
frasco ampola;212;101;1.9659887330129133
reservada do;195;93;1.963042990230455
com tamanho;197;94;1.9621995775601087
cateter;673;324;1.9524419417431818
00 ml;250;121;1.9369369484567307
conjunto de;367;178;1.9355142833785168
ml frasco;274;133;1.932099501121583
vitamina;743;362;1.9296027234041306
tira;203;99;1.9205771622785306
pomada;209;102;1.9194803163834542
cod;624;306;1.916651859270744
regulagem de;361;177;1.9146533728377064
onibus;699;347;1.8937401588840594
pead;194;96;1.892624553488546
cm altura;397;197;1.8924284773887283
fogao;200;99;1.892333380480317
ml solucao;734;370;1.8651554017688283
de velocidade;241;122;1.8523022209126592
registrado;200;102;1.8372168742527348
indicador de;182;93;1.8328411592457816
medicamentos;211;108;1.8310953337068197
rodas;458;235;1.8310587352231753
comprimento total;174;89;1.8306154869212576
termica;512;263;1.8294267755661135
avental;214;110;1.8235474734582406
caracteristicas tecnicas;212;109;1.8230077342483377
cru;198;102;1.818936109334797
1ml;306;158;1.8177863756921593
cozinha;329;170;1.8168514607038044
precisao;298;154;1.8161055392829872
do item;407;211;1.811865247432576
avaliacao;262;136;1.8073271564307052
max;331;172;1.8067313211959426
medicao;281;146;1.8060649585252289
